router_id,expert,ending_weight,max_weight,min_weight
rolling_hedge_all_120,baseline,0.16885345861785478,0.17399317162215824,0.16106715863804713
rolling_hedge_all_120,cycle,0.16017443513603777,0.1818999928204342,0.14977606563275506
rolling_hedge_all_120,ziping,0.17663870579687924,0.1795251894350474,0.16170971611215243
rolling_hedge_all_120,qimen,0.16245003066287791,0.17777191243013224,0.15944487067670748
rolling_hedge_all_120,meihua,0.15700498024284132,0.174191864751667,0.15211256419775712
rolling_hedge_all_120,liuyao_hash,0.1748783895435089,0.18197746727653247,0.15697084097787684
rolling_hedge_all_20,baseline,0.1675791778570426,0.1733771284628427,0.16038160223024311
rolling_hedge_all_20,cycle,0.17354969321190858,0.19200718192104033,0.14802841975492995
rolling_hedge_all_20,ziping,0.16620260032941825,0.18445360089959825,0.15780035566741557
rolling_hedge_all_20,qimen,0.16539248360758182,0.18267446431554266,0.1540691722171661
rolling_hedge_all_20,meihua,0.1595070744976402,0.17834227135216044,0.14698040548963823
rolling_hedge_all_20,liuyao_hash,0.16776897049640863,0.18304328079567983,0.15249612536370283
rolling_hedge_all_60,baseline,0.16715804744176363,0.17399317162215824,0.1596777804491199
rolling_hedge_all_60,cycle,0.16478566491097285,0.1848493037815707,0.14977606563275506
rolling_hedge_all_60,ziping,0.1715537750730576,0.18246705624208023,0.15903154095614935
rolling_hedge_all_60,qimen,0.1677590653796179,0.18011196240345442,0.15559269903968548
rolling_hedge_all_60,meihua,0.15910043558542783,0.174191864751667,0.14974695298111793
rolling_hedge_all_60,liuyao_hash,0.16964301160916007,0.1805546604663135,0.15697084097787684
rolling_hedge_traditional_120,baseline,0.20440460490210735,0.207543267379362,0.193493642544823
rolling_hedge_traditional_120,cycle,0.19443352205737324,0.21808278813462714,0.18246961587598104
rolling_hedge_traditional_120,ziping,0.21332605175200683,0.2161717399369385,0.19514580570655052
rolling_hedge_traditional_120,qimen,0.19705055911601352,0.2112992452434859,0.19300387467264646
rolling_hedge_traditional_120,meihua,0.190785262172499,0.2082704522483128,0.18546952875037276
rolling_hedge_traditional_120,liuyao_hash,,,
rolling_hedge_traditional_20,baseline,0.20129365220116147,0.207543267379362,0.19052433826309437
rolling_hedge_traditional_20,cycle,0.2080844328919352,0.22793702520036604,0.1797059418418267
rolling_hedge_traditional_20,ziping,0.1997261743730475,0.2207992021770432,0.18933296905085786
rolling_hedge_traditional_20,qimen,0.19880339599074884,0.21593945254069882,0.18576707032713063
rolling_hedge_traditional_20,meihua,0.19209234454310706,0.2125516135964984,0.17780874173811914
rolling_hedge_traditional_20,liuyao_hash,,,
rolling_hedge_traditional_60,baseline,0.20124313555409626,0.207543267379362,0.19089822666101525
rolling_hedge_traditional_60,cycle,0.1985352048689944,0.22041102363752002,0.18246961587598104
rolling_hedge_traditional_60,ziping,0.20625530927781693,0.21816209554034885,0.190709161432824
rolling_hedge_traditional_60,qimen,0.20192884122382052,0.21502014497446764,0.18725094837922485
rolling_hedge_traditional_60,meihua,0.19203750907527184,0.2082704522483128,0.18137826356221573
rolling_hedge_traditional_60,liuyao_hash,,,
