router_id,expert,ending_weight,max_weight,min_weight
hedge_all_v1,baseline,0.17619361695466504,0.18301440337349412,0.16666666666666666
hedge_all_v1,cycle,0.15854727562759888,0.16666666666666666,0.14342968212491572
hedge_all_v1,ziping,0.17624994747581035,0.17794662836613762,0.16666666666666666
hedge_all_v1,qimen,0.17429023694558107,0.18008940715489205,0.16069265468623847
hedge_all_v1,meihua,0.14157880544755086,0.1724755124414313,0.14086591495028214
hedge_all_v1,liuyao_hash,0.17314011754879377,0.18068343570682252,0.158536079464585
hedge_traditional_v1,baseline,0.21241980667998756,0.2178708614867379,0.2
hedge_traditional_v1,cycle,0.19220202781310064,0.2,0.1758644533828338
hedge_traditional_v1,ziping,0.2124841705635543,0.21371615197641017,0.2
hedge_traditional_v1,qimen,0.21024434919156754,0.21499891299658502,0.19436434124397756
hedge_traditional_v1,meihua,0.17264964575178995,0.20811501083817596,0.17171063131842035
